t,u1,u2,zT1,zT2
0.0,0.0,1.0,1.3141886921911453e-08,2.4013349810474956e-08
0.00025,0.0,1.0,5.633533666371832e-08,5.7300905316398296e-08
0.0005,0.0,1.0,-4.849002640264261e-09,4.215796047093612e-08
0.00075,0.0,1.0,3.2718369339967365e-08,2.7282515624411742e-08
0.001,0.0,1.0,8.85324091802186e-09,3.78400965916727e-08
0.00125,0.0,1.0,3.0497735171850085e-08,7.186995455360905e-08
0.0015,0.0,1.0,1.859577251689699e-08,5.771387253792181e-08
0.00175,0.0,1.0,-2.586496835928026e-08,2.1164577045723328e-07
0.002,0.0,1.0,1.826470916902007e-08,2.0906548067137326e-07
0.0022500000000000003,0.0,1.0,-2.981949949987074e-09,1.6711006282361188e-07
0.0025,0.0,1.0,-4.174067429873073e-08,2.2343545291852762e-07
0.00275,0.0,1.0,2.0698049889353265e-09,2.870527791383538e-07
0.003,0.0,1.0,4.35484464247863e-08,4.0644849539320687e-07
0.0032500000000000003,0.0,1.0,5.5999313159299105e-08,3.932140678177813e-07
0.0035,0.0,1.0,8.597848403594752e-09,5.231141359945652e-07
0.00375,0.0,1.0,3.8777486752218845e-08,5.721805173651411e-07
0.004,0.0,1.0,7.131594398521414e-08,5.776092698688529e-07
0.00425,0.0,1.0,1.529036667723951e-07,6.004687048886164e-07
0.0045000000000000005,0.0,1.0,1.478530343806798e-07,6.12368075751961e-07
0.00475,0.0,1.0,1.1507218805556434e-07,7.122193062815548e-07
0.005,0.0,1.0,8.283337732595889e-08,7.850231080345599e-07
0.00525,0.0,1.0,1.4347234574277885e-07,8.200842452087039e-07
0.0055,0.0,1.0,1.6773396562927085e-07,8.646609269031019e-07
0.00575,0.0,1.0,2.0034383453681744e-07,9.374560018355995e-07
0.006,0.0,1.0,2.2444791370639554e-07,9.5917309355389e-07
0.00625,0.0,1.0,2.3243035166997553e-07,1.0104955249514844e-06
0.006500000000000001,0.0,1.0,2.3568722396337668e-07,1.1045338031781351e-06
0.00675,0.0,1.0,2.824283897017578e-07,1.10661217149672e-06
0.007,0.0,1.0,3.338803664864759e-07,1.1036580366328966e-06
0.00725,0.0,1.0,3.282436638356673e-07,1.1372404015237614e-06
0.0075,0.0,1.0,3.5966967282510275e-07,1.140126109487168e-06
0.00775,0.0,1.0,3.6445159202975475e-07,1.1702389977563879e-06
0.008,0.0,1.0,3.2586528420709917e-07,1.2565661555546722e-06
0.00825,0.0,1.0,3.611742802964578e-07,1.2061064238564592e-06
0.0085,0.0,1.0,4.899422874339288e-07,1.2972147330825065e-06
0.00875,0.0,1.0,5.071900313667093e-07,1.2964080272578862e-06
0.009000000000000001,0.0,1.0,5.649896505985622e-07,1.2758693730122524e-06
0.00925,0.0,1.0,5.620838490408309e-07,1.2544656277335493e-06
0.0095,0.0,1.0,5.643819959492286e-07,1.312399006781766e-06
0.00975,0.0,1.0,6.154576122062488e-07,1.2987910165996326e-06
0.01,0.0,1.0,5.52828290624246e-07,1.3071750923865666e-06
0.01025,0.0,1.0,5.802685948130073e-07,1.2963617715662126e-06
0.0105,0.0,1.0,6.514874523946731e-07,1.2906464009214966e-06
0.010750000000000001,0.0,1.0,6.082163971364171e-07,1.2979842035966914e-06
0.011,0.0,1.0,6.404241873022307e-07,1.2609943123670484e-06
0.01125,0.0,1.0,6.499012743932572e-07,1.2718725215702285e-06
0.0115,0.0,1.0,6.610874236658939e-07,1.258685892788202e-06
